Action,Action
Bought From,Bought From
Canceled,Canceled
CSV,CSV
Customer Email,Customer Email
Customer Name,Customer Name
Discount Amount,Discount Amount
Excl. Tax,Excl. Tax
Guest,Guest
Incl. Tax,Incl. Tax
Invoiced,Invoiced
Item Status,Item Status
Order #,Order #
Order Date,Order Date
Ordered,Ordered
Orders by Customers,Orders by Customers
Original Price,Original Price
Price,Price
Qty,Qty
Refunded,Refunded
Row Total,Row Total
Shipped,Shipped
Subtotal,Subtotal
Tax Amount,Tax Amount
Tax Percent,Tax Percent
Total,Total
View Customer,View Customer
XML,XML
